tbl1,attr1,tbl2,attr2,r_val,p_val,samples,flag
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_323_202209_Teaching Staff in education,Teachers at primary level (thousands),0.4330799883292505,0.0271050199147422,26,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_323_202209_Teaching Staff in education,Teachers at secondary level (thousands),0.5629695296266534,0.0186270762064765,17,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_323_202209_Teaching Staff in education,Teachers at upper secondary level (thousands),0.5578725981997846,0.0306952684991232,15,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Urban population (percent growth rate per annum),0.3990779953102361,0.0354003995280493,28,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in secondary education,-0.4541314935551943,0.0294951933361212,23,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in upper secondary education,-0.4244976583432187,0.0434951453572828,23,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_310_202209_Carbon Dioxide Emission Estimates,Emissions per capita (metric tons of carbon dioxide),0.4609051483138209,0.0408264388141014,20,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_125_202209_Balance of Payments,Balance of Payments: Current account (millions of US dollars),-0.6514586024504636,0.0412870004021128,10,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_125_202209_Balance of Payments,Balance of Payments: Financial account (millions of US dollars),-0.8127609694758217,0.0077464323739267,9,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_153_202209_Gross Value Added by Economic Activity,Industry (% of gross value added),0.5221828572577137,0.0021724291433738,32,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_153_202209_Gross Value Added by Economic Activity,Services (% of gross value added),-0.5033568496655153,0.0033172848851618,32,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),SYB65_264_202209_Patents,Grants of patents (number),0.6145122392860988,0.0442499233032231,11,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Population annual rate of increase (percent),0.5336755822044744,0.0493573518482212,14,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - women (number in full-time equivalent),0.8078371500115407,6.53240121394925e-22,90,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_285_202209_Research and Development Staff,R & D personnel: Technicians - total (number in full-time equivalent),0.4990011348507638,3.561014024246825e-07,93,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_285_202209_Research and Development Staff,R & D personnel: Technicians - women (number in full-time equivalent),0.3280985341961854,0.0111837832862668,59,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_285_202209_Research and Development Staff,R & D personnel: Total (number in full-time equivalent),0.7937995903575826,2.337481046099252e-14,61,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_323_202209_Teaching Staff in education,Teachers at primary level (thousands),0.3887621473994385,0.0033543211850326,55,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_323_202209_Teaching Staff in education,Teachers with minimum required qualifications at upper secondary level,-0.5922281919676459,0.0329588226636733,13,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in primary education,0.3038843418662276,0.0192905154091514,59,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_154_202209_Health Personnel,Health personnel: Dentists (number),0.3980863847870314,0.0359015474382854,28,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_154_202209_Health Personnel,Health personnel: Pharmacists (number),0.5010263375942205,0.0091272723026881,26,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_154_202209_Health Personnel,Health personnel: Physicians (number),0.8677389904997361,0.0002542097417177,12,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Bilateral  (millions of US dollars),0.3288936537578553,0.0292668443024596,44,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Multilateral (millions of US dollars),0.519692083503789,0.0001814058843505,47,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_123_202209_Total Imports Exports and Balance of Trade,Exports FOB (millions of US dollars),0.570175457898844,0.0168583787418054,17,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_125_202209_Balance of Payments,Balance of Payments: Capital account (millions of US dollars),0.4747642392441192,0.0123385669422933,27,region_and_year
SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - total (number in full-time equivalent),SYB65_153_202209_Gross Value Added by Economic Activity,Industry (% of gross value added),0.2440035433896365,0.0483394325516429,66,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_130_202209_Exchange Rates,Exchange rates: period average (national currency per US dollar),0.997395728449094,0.0,1632,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_323_202209_Teaching Staff in education,Teachers with minimum required qualifications at secondary level,-0.2424976249914733,0.0003907875061442,210,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_323_202209_Teaching Staff in education,Teachers with minimum required qualifications at upper secondary level,-0.2016240786960739,0.0194836000720703,134,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_245_202209_Public expenditure on education,Basic access to computers by level of education: Lower secondary,-0.5365776081951783,1.6434110048256263e-14,176,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_245_202209_Public expenditure on education,Basic access to computers by level of education: Primary,-0.5483013737934371,4.023410557749404e-15,175,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_245_202209_Public expenditure on education,Basic access to computers by level of education: Upper secondary,-0.5340954436074254,5.3605087397910565e-14,171,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_245_202209_Public expenditure on education,Public expenditure on education (% of GDP),-0.2535155388279166,8.395801981709842e-09,502,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Capital city population (as a percentage of total urban population),0.2440518593720299,2.619771625731364e-06,362,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Capital city population (thousands),0.3019445270938405,5.654424759548635e-06,218,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Rural population (percent growth rate per annum),0.2332153781970784,1.8696697774200586e-08,568,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Urban population (percent growth rate per annum),0.2504188629096731,1.4331792641165835e-09,568,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Urban population (percent),-0.240657743680764,1.955929502368777e-11,757,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in primary education,-0.2991587623203755,3.531168747814891e-19,857,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in secondary education,-0.3129356600336646,6.1798882308855626e-18,725,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in upper secondary education,-0.3451075801961725,6.7346305422463455e-21,696,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_310_202209_Carbon Dioxide Emission Estimates,Emissions per capita (metric tons of carbon dioxide),-0.2807200368742885,6.842593959436714e-13,631,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_1_202209_Population, Surface Area and Density",Population aged 0 to 14 years old (percentage),0.494138384767937,4.883921587555321e-37,580,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_1_202209_Population, Surface Area and Density",Population aged 60+ years old (percentage),-0.3319066581752282,2.2119763585855426e-16,580,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Dentists (per 1000 population),-0.2750019180232148,2.25784234304006e-08,400,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Nurses and midwives (number),0.3373627067970089,0.0234325360882833,45,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Nurses and midwives personnel (per 1000 population),-0.3407159478372711,7.870244249361686e-14,455,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Pharmacists (number),-0.2098149787657144,0.0157523383190538,132,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Pharmacists (per 1000 population),-0.3614268829702265,5.829606512300487e-12,341,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Physicians (number),0.3526141160882564,0.0005271940869784,93,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_154_202209_Health Personnel,Health personnel: Physicians (per 1000 population),-0.3659728222880845,6.723632383022504e-16,456,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Multilateral (millions of US dollars),0.227421256652046,3.9739383786408165e-11,824,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_327_202209_International Migrants and Refugees,International migrant stock: Both sexes (% total population),-0.2169129814532937,1.0760862096615196e-09,774,region_and_year
